250301 => 131001;0506,17:10==0516,05:36
250301 => 100601;0505,23:15==0515,15:41
250301 => 020801;0503,06:51==0515,14:40
221001 => 190301;0503,04:47==0523,03:17
221001 => 130201;0503,20:26==0524,22:27
221001 => 061001;0509,08:12==0518,04:38
221001 => 021201;0510,06:24==0515,12:22
220901 => 221001;0506,20:03==0524,21:08
220901 => 100601;0501,16:44==0521,08:51
220901 => 021901;0510,20:42==0518,17:45
220801 => 220401;0509,07:14==0523,13:28
220801 => 130101;0504,23:43==0517,11:50
220801 => 021501;0503,05:55==0519,21:40
220701 => 220101;0504,15:22==0523,00:51
220701 => 060701;0504,15:49==0513,18:06
220701 => 020101;0510,05:38==0520,14:34
220601 => 220201;0503,09:24==0513,18:40
220601 => 101101;0506,23:05==0523,20:53
220601 => 021301;0504,16:20==0515,04:55
220601 => 010201;0506,17:00==0514,12:25
220501 => 130501;0505,19:11==0517,20:14
220501 => 060201;0509,07:38==0514,14:21
220401 => 221001;0511,05:43==0522,11:22
220401 => 130701;0508,08:25==0519,19:00
220401 => 061301;0507,10:07==0524,23:43
220401 => 021501;0508,10:05==0518,17:48
220301 => 220801;0502,04:35==0519,20:19
220301 => 130601;0511,13:28==0516,04:33
220301 => 060801;0503,21:40==0517,07:49
220301 => 020301;0506,02:32==0522,22:41
220201 => 220301;0504,13:08==0524,05:57
220201 => 100601;0504,13:00==0524,01:17
220201 => 021901;0504,09:30==0520,01:26
220101 => 220701;0509,05:22==0523,09:43
220101 => 130101;0501,05:58==0514,08:29
220101 => 020901;0504,18:08==0516,15:45
190301 => 190101;0501,18:31==0523,22:09
190301 => 120101;0507,05:44==0515,12:04
190301 => 090201;0510,04:23==0513,15:32
190301 => 020301;0508,04:32==0524,00:21
190201 => 120401;0503,23:10==0521,22:03
190201 => 090701;0506,21:31==0517,14:22
190201 => 020801;0502,17:00==0520,21:59
190101 => 150201;0506,08:01==0516,14:18
190101 => 100301;0506,18:56==0519,07:22
190101 => 020501;0509,22:44==0522,23:01
150901 => 120901;0502,05:48==0517,01:59
150901 => 100201;0502,08:01==0518,21:58
150901 => 021101;0504,08:18==0523,00:34
150801 => 120801;0503,11:23==0522,17:59
150801 => 100201;0510,05:37==0518,01:54
150801 => 020601;0505,21:32==0524,13:04
150701 => 120601;0505,09:13==0515,18:01
150701 => 100201;0506,02:22==0515,17:12
150701 => 020201;0506,03:20==0519,05:38
150401 => 120401;0509,22:03==0516,04:21
150401 => 050101;0511,07:02==0517,10:34
150401 => 020201;0506,07:31==0523,17:46
150301 => 130901;0501,05:41==0524,20:07
150301 => 100801;0502,06:51==0516,12:37
150301 => 021601;0502,04:21==0519,21:10
150201 => 250301;0504,23:48==0515,08:37
150201 => 120801;0510,14:53==0522,20:00
150201 => 021801;0504,20:58==0513,14:36
131201 => 220601;0502,11:01==0517,03:36
131201 => 100501;0501,23:04==0516,16:45
131201 => 021801;0506,13:29==0517,06:50
131201 => 020401;0511,16:44==0521,12:53
131101 => 220401;0507,03:12==0516,10:51
131101 => 100401;0510,07:19==0522,21:49
131101 => 021501;0502,10:30==0518,00:30
131001 => 250301;0503,17:59==0518,01:37
131001 => 150301;0510,09:20==0519,05:26
131001 => 100301;0502,03:57==0513,21:34
131001 => 022001;0510,13:39==0513,21:54
131001 => 010101;0503,11:10==0524,10:38
130901 => 130201;0505,05:11==0522,15:38
130901 => 060601;0508,16:30==0522,01:32
130901 => 021101;0512,16:56==0519,13:22
130801 => 220701;0503,15:47==0517,05:49
130801 => 130701;0507,02:11==0521,07:52
130801 => 100301;0509,05:54==0517,02:27
130801 => 021801;0510,16:49==0513,03:26
130801 => 020401;0504,15:37==0520,05:52
130701 => 220301;0501,20:47==0522,20:59
130701 => 060801;0504,23:55==0514,17:09
130701 => 020901;0509,16:21==0517,13:09
130601 => 220601;0501,20:41==0522,00:58
130601 => 101001;0507,06:52==0516,01:53
130601 => 021401;0508,06:01==0524,04:38
130601 => 010601;0512,02:25==0519,23:59
130501 => 220101;0512,19:15==0516,09:52
130501 => 101001;0511,15:41==0516,14:58
130501 => 060401;0508,18:44==0520,06:34
130501 => 020701;0505,19:08==0519,17:27
130401 => 220301;0511,21:15==0513,20:47
130401 => 061001;0510,01:16==0521,09:35
130401 => 021201;0512,05:50==0514,02:31
130301 => 220501;0505,10:32==0523,08:17
130301 => 100501;0511,21:04==0514,01:30
130301 => 060101;0505,11:10==0520,18:02
130301 => 020301;0510,22:18==0522,09:27
130201 => 220401;0511,02:50==0515,11:23
130201 => 100701;0507,08:04==0516,05:18
130201 => 021801;0512,08:10==0513,10:28
130101 => 220801;0504,13:17==0514,02:21
130101 => 130301;0509,12:01==0518,20:28
130101 => 022001;0501,12:42==0523,22:14
130101 => 020401;0501,20:31==0523,23:49
120901 => 150701;0505,15:18==0523,12:55
120901 => 100501;0506,07:48==0521,19:09
120801 => 190301;0510,04:36==0519,06:06
120801 => 101001;0505,04:38==0517,21:09
120801 => 050201;0508,05:22==0518,12:33
120701 => 150701;0501,20:09==0513,19:29
120701 => 100601;0512,00:58==0522,15:56
120701 => 020501;0501,18:40==0513,15:45
120601 => 120101;0506,02:20==0518,05:13
120601 => 051001;0506,00:45==0524,10:13
120501 => 120701;0505,12:09==0522,23:22
120501 => 100301;0501,22:58==0513,23:27
120501 => 021701;0507,00:36==0516,20:19
120401 => 190101;0511,00:53==0514,20:25
120401 => 101101;0501,17:29==0513,07:23
120401 => 051001;0506,10:40==0513,07:53
120301 => 150901;0511,16:38==0513,11:34
120301 => 100601;0506,22:07==0516,18:49
120301 => 021701;0502,00:24==0524,21:21
120201 => 150301;0510,08:55==0520,07:21
120201 => 090701;0506,11:35==0521,09:34
120201 => 021401;0512,01:32==0516,18:41
120101 => 120401;0507,00:27==0521,10:55
120101 => 051001;0506,22:57==0516,23:45
101101 => 220201;0504,10:05==0514,14:38
101101 => 130301;0509,16:06==0515,13:10
101101 => 100701;0511,08:00==0516,19:18
101101 => 021401;0509,23:34==0513,01:13
101001 => 220601;0509,07:27==0522,21:47
101001 => 130801;0510,15:34==0523,20:00
101001 => 100401;0505,06:03==0518,02:43
100901 => 220201;0503,13:50==0517,09:56
100901 => 120601;0507,10:32==0516,11:19
100901 => 100101;0507,06:56==0516,22:51
100901 => 020101;0507,15:19==0522,20:09
100801 => 130801;0501,03:39==0518,13:52
100801 => 100501;0511,20:59==0524,12:52
100801 => 021001;0511,12:40==0519,02:46
100701 => 220601;0509,12:44==0523,05:38
100701 => 130501;0510,00:35==0520,02:58
100701 => 061201;0507,01:56==0519,00:02
