250301 => 130801;0404,21:51==0413,16:55
250301 => 100501;0406,03:54==0422,02:41
250301 => 020701;0403,09:18==0422,13:21
221001 => 190101;0402,14:17==0416,23:30
221001 => 130101;0411,10:11==0416,09:39
221001 => 060701;0407,20:08==0417,03:48
221001 => 021101;0402,07:13==0415,12:44
220901 => 220801;0405,01:48==0418,09:09
220901 => 100401;0409,23:50==0417,18:54
220901 => 021601;0405,11:45==0413,18:47
220801 => 220301;0409,00:48==0418,06:48
220801 => 100701;0410,03:20==0424,03:07
220801 => 010701;0406,05:02==0415,10:54
220701 => 131201;0404,22:50==0416,01:23
220701 => 060601;0406,08:49==0416,10:33
220701 => 010701;0405,07:43==0419,16:41
220601 => 220101;0410,16:09==0413,16:50
220601 => 101001;0401,06:35==0417,12:45
220601 => 021201;0410,19:30==0422,17:32
220501 => 250301;0402,06:50==0413,05:29
220501 => 130301;0402,14:05==0423,11:20
220501 => 021901;0405,22:28==0421,07:53
220401 => 220801;0409,03:40==0423,20:51
220401 => 130601;0410,19:39==0413,06:38
220401 => 061201;0408,07:04==0415,20:00
220401 => 021301;0402,13:38==0420,04:55
220301 => 220701;0404,06:14==0423,14:23
220301 => 130501;0404,05:59==0424,17:02
220301 => 060601;0406,22:43==0423,12:33
220301 => 010701;0407,00:18==0415,10:30
220201 => 220101;0405,04:33==0414,04:49
220201 => 100301;0410,03:37==0417,09:33
220201 => 021801;0412,04:50==0418,12:40
220101 => 220601;0406,13:57==0418,04:09
220101 => 061201;0412,07:55==0423,00:56
220101 => 010701;0407,22:54==0413,19:19
190301 => 150801;0406,22:09==0424,00:36
190301 => 101101;0412,08:00==0422,06:02
190301 => 090101;0408,00:55==0414,14:43
190301 => 020101;0411,12:03==0420,04:35
190201 => 120301;0412,06:10==0418,05:26
190201 => 090101;0406,08:35==0413,06:16
190201 => 020701;0412,06:58==0416,04:30
190101 => 130801;0408,03:03==0422,11:41
190101 => 100101;0402,20:24==0424,08:56
190101 => 020401;0408,13:14==0418,12:05
150901 => 120701;0411,14:04==0417,07:53
150901 => 100101;0401,12:22==0420,17:45
150901 => 021001;0412,05:33==0418,21:11
150801 => 120401;0402,08:28==0421,14:01
150801 => 100101;0401,05:41==0415,17:10
150801 => 020501;0403,08:26==0424,13:47
150701 => 120501;0408,00:59==0414,04:29
150701 => 100101;0402,17:23==0422,20:11
150401 => 250301;0402,01:09==0424,00:38
150401 => 120201;0403,00:43==0415,06:25
150401 => 022001;0411,06:25==0413,03:00
150301 => 250301;0409,05:13==0421,05:24
150301 => 130501;0404,03:53==0418,10:51
150301 => 100701;0407,17:33==0423,23:44
150301 => 021501;0408,17:36==0424,17:06
150201 => 221001;0407,07:31==0422,18:18
150201 => 120701;0410,06:04==0415,15:08
150201 => 021701;0410,12:34==0415,03:09
131201 => 220401;0410,04:38==0422,05:59
131201 => 100401;0407,16:22==0417,07:02
131201 => 021701;0408,08:31==0423,12:00
131201 => 020301;0402,23:55==0424,06:12
131101 => 220301;0409,06:47==0417,21:51
131101 => 061301;0403,20:53==0418,19:03
131101 => 021301;0406,13:01==0422,19:15
131001 => 221001;0403,09:42==0418,04:11
131001 => 131201;0403,09:38==0422,03:47
131001 => 100201;0406,19:45==0416,10:58
131001 => 021501;0410,19:42==0414,04:56
130901 => 221001;0403,11:28==0415,15:47
130901 => 130101;0404,16:07==0414,16:14
130901 => 060501;0402,17:55==0422,06:46
130901 => 021001;0411,05:22==0414,09:43
130801 => 220601;0404,04:10==0418,09:13
130801 => 130601;0407,08:03==0415,22:15
130801 => 100201;0409,09:09==0420,03:34
130801 => 021701;0411,01:28==0420,10:52
130801 => 020301;0405,21:31==0413,05:09
130701 => 220101;0409,20:15==0419,06:06
130701 => 060701;0409,03:21==0414,20:41
130701 => 020801;0405,07:47==0424,06:25
130601 => 220501;0408,13:09==0414,23:54
130601 => 100601;0403,15:52==0424,10:46
130601 => 021301;0403,08:06==0421,21:01
130601 => 010201;0404,05:43==0419,12:24
130501 => 150301;0406,20:24==0415,05:33
130501 => 100701;0406,08:34==0416,14:48
130501 => 060201;0407,16:21==0414,13:39
130501 => 020601;0405,11:48==0420,21:57
130401 => 220201;0411,20:21==0422,21:17
130401 => 060801;0411,11:55==0423,10:59
130401 => 020901;0405,17:18==0413,07:31
130301 => 220401;0409,17:45==0421,18:24
130301 => 100401;0412,19:23==0415,12:26
130301 => 022001;0412,19:19==0415,11:04
130301 => 020201;0411,02:12==0414,22:46
130201 => 220201;0401,13:28==0418,20:13
130201 => 100401;0405,15:33==0419,07:35
130201 => 021701;0404,03:47==0415,16:38
130101 => 220401;0402,14:38==0417,15:50
130101 => 130201;0405,04:10==0418,05:13
130101 => 021701;0410,23:06==0420,07:47
130101 => 020301;0407,12:33==0422,10:18
120901 => 150401;0404,07:15==0420,18:29
120901 => 100101;0404,07:21==0421,01:19
120801 => 190201;0401,09:20==0423,21:00
120801 => 100901;0408,17:12==0415,04:33
120801 => 050101;0401,22:46==0416,23:39
120701 => 150401;0406,22:12==0419,13:30
120701 => 100401;0412,07:52==0418,20:41
120701 => 020301;0401,14:53==0419,05:32
120601 => 101101;0404,05:24==0413,13:47
120601 => 050901;0402,13:31==0418,15:46
120501 => 120601;0411,11:59==0417,21:57
120501 => 100201;0404,22:58==0424,14:22
120501 => 021601;0403,12:38==0420,04:37
120401 => 150901;0407,15:37==0421,01:48
120401 => 100901;0411,10:35==0424,11:19
120401 => 050901;0402,05:15==0415,15:58
120301 => 150801;0401,23:32==0416,13:19
120301 => 100501;0410,21:06==0415,18:19
120301 => 021401;0412,08:48==0419,20:23
120201 => 120901;0402,05:00==0413,09:07
120201 => 090501;0412,23:22==0416,00:11
120201 => 020501;0401,18:07==0424,13:50
120101 => 120301;0411,03:10==0419,12:04
120101 => 050901;0411,14:24==0415,02:47
101101 => 190301;0412,12:22==0420,10:29
101101 => 120901;0403,04:27==0420,12:16
101101 => 100601;0408,17:50==0423,17:27
101101 => 021301;0404,22:49==0417,21:08
101001 => 190301;0412,03:22==0421,02:49
101001 => 130601;0409,10:45==0422,23:48
101001 => 100301;0401,21:21==0417,13:29
100901 => 190301;0407,14:47==0418,23:40
100901 => 120501;0406,23:04==0413,01:05
100901 => 022001;0404,14:51==0414,09:33
100801 => 250301;0406,23:56==0423,15:27
100801 => 120801;0401,14:18==0414,09:41
100801 => 100301;0405,06:02==0413,21:46
100801 => 020901;0403,09:12==0420,02:15
100701 => 220401;0405,09:11==0413,22:14
100701 => 130201;0405,16:17==0422,21:36
100701 => 061101;0407,17:28==0417,08:13
100701 => 021201;0401,01:39==0423,13:10
100601 => 250301;0402,15:04==0413,15:20
100601 => 150201;0411,14:15==0420,15:51
100601 => 120201;0411,03:13==0422,03:03
100601 => 021801;0410,04:51==0422,11:41
100601 => 020401;0404,19:12==0413,03:46
100501 => 150301;0412,22:24==0423,10:40
100501 => 120501;0411,21:52==0416,12:39
100501 => 061001;0407,14:43==0421,05:22
100501 => 020401;0404,01:09==0424,18:10
100401 => 150801;0405,23:34==0421,12:06
100401 => 120301;0407,03:49==0416,13:36
100401 => 022001;0407,01:04==0423,17:01
100401 => 020501;0405,10:00==0416,22:42
100301 => 150801;0409,11:21==0415,04:40
100301 => 120501;0409,06:17==0422,00:05
100301 => 100201;0405,07:58==0414,18:43
100301 => 021001;0410,20:16==0417,15:44
100201 => 150801;0406,13:35==0416,04:05
100201 => 101101;0408,17:27==0422,15:32
100201 => 022001;0407,20:59==0413,05:01
100201 => 020501;0403,20:41==0419,02:27
100101 => 150701;0408,12:32==0414,20:05
100101 => 100901;0408,11:28==0417,01:35
100101 => 021401;0402,15:01==0421,15:29
090701 => 190201;0405,08:01==0417,20:36
090701 => 100801;0404,17:23==0415,01:19
090501 => 120901;0405,18:26==0418,22:14
090501 => 070101;0405,10:14==0417,06:41
090201 => 120101;0403,08:16==0424,14:55
090101 => 190201;0401,05:58==0423,18:40
090101 => 051101;0408,12:46==0423,20:29
081301 => 080701;0401,15:12==0416,15:04
081001 => 081301;0412,04:53==0423,20:47
081001 => 030701;0406,03:50==0420,06:22
080701 => 040801;0402,02:09==0416,16:44
080201 => 040801;0407,19:13==0416,15:24
070101 => 120301;0407,19:07==0418,18:52
070101 => 021101;0410,01:40==0424,05:28
061301 => 220401;0402,15:08==0422,04:54
061301 => 060701;0407,05:15==0421,17:23
061301 => 010201;0411,05:50==0419,21:41
061201 => 131001;0409,17:43==0424,06:28
061201 => 060501;0407,07:10==0420,20:24
