250301 => 220501;0101,13:32==0119,10:39
250301 => 120701;0105,11:25==0120,18:09
250301 => 060201;0111,13:07==0119,08:19
250301 => 020301;0108,08:28==0115,23:30
221001 => 150201;0107,20:33==0123,23:48
221001 => 100601;0110,05:41==0122,02:51
221001 => 060301;0101,01:14==0123,16:02
221001 => 020701;0103,19:50==0118,23:21
220901 => 220301;0109,21:54==0124,14:21
220901 => 061001;0110,13:44==0114,03:22
220901 => 020701;0108,04:13==0115,23:43
220801 => 131001;0104,15:04==0120,17:56
220801 => 061001;0103,22:26==0113,13:04
220801 => 010201;0109,21:25==0121,17:58
220701 => 130601;0104,07:11==0118,13:56
220701 => 060201;0107,22:01==0114,22:13
220701 => 010201;0111,23:23==0117,16:56
220601 => 131001;0108,07:27==0116,15:06
220601 => 061301;0112,09:59==0124,10:09
220601 => 020601;0107,03:58==0115,13:55
220501 => 220601;0111,20:59==0116,11:45
220501 => 061201;0106,20:31==0124,06:33
220501 => 021301;0109,19:11==0113,04:30
220401 => 220501;0111,00:13==0124,03:08
220401 => 130301;0112,20:40==0120,01:07
220401 => 060801;0101,04:00==0117,12:49
220401 => 020301;0112,12:42==0114,03:31
220301 => 220401;0104,09:14==0117,05:14
220301 => 130101;0102,23:36==0121,09:59
220301 => 060201;0107,13:07==0118,08:43
220301 => 010301;0106,12:28==0119,06:45
220201 => 130601;0108,20:54==0123,06:33
220201 => 061201;0108,03:18==0117,21:46
220201 => 020901;0101,18:51==0120,14:07
220101 => 220301;0101,02:42==0123,13:08
220101 => 060801;0104,08:29==0117,23:45
220101 => 010301;0101,22:28==0117,16:56
190301 => 150201;0104,08:11==0123,02:49
190301 => 100701;0103,11:09==0115,13:02
190301 => 021701;0108,00:45==0118,09:47
190201 => 150701;0112,06:23==0119,10:32
190201 => 101001;0107,21:42==0118,07:59
190201 => 021901;0108,01:44==0124,22:49
190201 => 020101;0107,05:07==0115,08:30
190101 => 120701;0108,15:32==0117,01:02
190101 => 022001;0105,06:52==0117,21:24
190101 => 020101;0112,16:52==0123,22:15
150901 => 120201;0107,21:10==0124,02:33
150901 => 022001;0107,04:58==0119,23:39
150801 => 190301;0108,22:24==0124,12:33
150801 => 120101;0101,08:53==0118,08:18
150801 => 021701;0105,20:24==0116,08:26
150701 => 190301;0106,20:44==0115,08:35
150701 => 120201;0111,10:04==0116,11:32
150701 => 050501;0105,15:00==0116,14:06
150401 => 150901;0110,15:48==0122,16:54
150401 => 100901;0105,23:44==0119,20:32
150401 => 021401;0106,21:49==0124,03:58
150301 => 190201;0102,07:20==0122,00:51
150301 => 120601;0103,03:23==0123,09:33
150301 => 100401;0109,04:14==0117,19:28
150301 => 021101;0101,21:45==0121,06:04
150201 => 150801;0110,04:30==0119,06:08
150201 => 101001;0102,21:40==0122,08:21
150201 => 021201;0111,18:30==0124,05:44
131201 => 131101;0111,17:10==0120,12:32
131201 => 061201;0111,16:40==0120,22:41
131201 => 021401;0101,05:04==0120,06:45
131201 => 010601;0111,17:10==0123,20:35
131101 => 131201;0108,08:58==0122,09:48
131101 => 060601;0101,04:46==0119,03:37
131101 => 021001;0102,17:26==0116,19:54
131001 => 220701;0105,16:39==0115,09:18
131001 => 130301;0101,23:19==0115,14:21
131001 => 061201;0101,07:19==0120,08:27
131001 => 020901;0101,03:03==0115,23:45
130901 => 220501;0108,06:44==0116,01:40
130901 => 100801;0109,23:13==0124,14:02
130901 => 022001;0112,12:31==0122,23:31
130901 => 010601;0102,22:02==0121,19:54
130801 => 220301;0102,03:39==0121,07:07
130801 => 130101;0105,01:46==0120,22:53
130801 => 060701;0105,13:23==0117,02:21
130801 => 021401;0105,04:08==0124,12:53
130801 => 010701;0104,19:06==0122,08:20
130701 => 130601;0105,01:31==0117,02:54
130701 => 060301;0109,14:04==0120,05:43
130701 => 020101;0105,21:07==0124,00:15
130601 => 220201;0109,16:36==0113,04:05
130601 => 061101;0108,20:09==0123,16:08
130601 => 020901;0109,03:03==0122,05:44
130501 => 220901;0107,15:36==0119,06:46
130501 => 130901;0105,01:52==0117,23:42
130501 => 061301;0111,11:59==0122,21:06
130501 => 021801;0106,23:08==0121,16:37
130501 => 010701;0110,02:59==0120,22:33
130401 => 130901;0107,22:38==0119,21:47
130401 => 060401;0107,16:51==0114,03:57
130401 => 010701;0102,06:45==0124,19:02
130301 => 131001;0106,01:25==0121,22:57
130301 => 061101;0111,20:41==0121,05:36
130301 => 021501;0106,08:33==0115,09:09
130301 => 010601;0103,23:20==0118,12:39
130201 => 131001;0105,07:18==0123,04:32
130201 => 060701;0111,16:32==0116,15:22
130201 => 021001;0106,07:31==0124,06:57
130101 => 220101;0106,05:47==0117,11:22
130101 => 100301;0112,02:33==0113,18:31
130101 => 021401;0111,20:33==0116,23:42
130101 => 010701;0104,04:55==0121,20:43
120901 => 120701;0103,15:12==0114,23:13
120901 => 090201;0112,18:32==0124,15:02
120801 => 150701;0101,15:45==0119,21:11
120801 => 100401;0111,12:19==0115,06:39
120801 => 020601;0110,12:59==0114,11:28
120701 => 120901;0104,20:11==0114,09:17
120701 => 090201;0110,17:35==0115,00:59
120601 => 190301;0105,09:38==0115,01:01
120601 => 100601;0104,10:26==0122,03:52
120601 => 050201;0102,22:37==0120,04:52
120501 => 120101;0102,22:09==0117,14:37
120501 => 090501;0107,04:20==0117,13:01
120501 => 021201;0112,21:04==0119,14:57
120401 => 150401;0105,01:37==0117,04:21
120401 => 100301;0112,12:06==0117,20:26
120401 => 050201;0107,02:03==0118,13:50
120301 => 120701;0103,18:20==0116,19:27
120301 => 100201;0110,07:14==0123,02:36
120301 => 020501;0110,03:32==0113,03:08
120201 => 120301;0101,18:57==0118,12:58
120201 => 070101;0102,14:15==0113,00:21
120101 => 150901;0103,13:07==0119,03:43
120101 => 100901;0105,21:41==0120,10:22
120101 => 050201;0103,08:17==0120,00:51
101101 => 150401;0107,07:13==0121,05:34
101101 => 120501;0110,14:21==0124,06:06
101101 => 100201;0111,18:32==0119,08:36
101101 => 020901;0112,19:20==0121,04:32
101001 => 150901;0111,01:26==0120,13:49
101001 => 120801;0103,05:22==0123,21:16
101001 => 021901;0111,01:29==0120,06:15
100901 => 150901;0101,18:35==0116,09:14
100901 => 120101;0101,00:23==0116,02:30
100901 => 021401;0101,00:10==0114,12:31
100801 => 150901;0104,19:55==0121,18:08
100801 => 120501;0112,23:24==0123,03:41
100801 => 070101;0104,05:26==0122,06:39
100801 => 020401;0110,09:51==0121,02:16
100701 => 190201;0101,01:53==0113,07:03
100701 => 100901;0102,22:03==0115,15:11
100701 => 060501;0112,08:32==0123,12:37
100701 => 020901;0106,16:59==0123,10:35
100601 => 220401;0110,23:45==0122,23:14
100601 => 130801;0108,01:30==0117,21:18
100601 => 100701;0108,16:59==0119,21:23
100601 => 021301;0101,20:02==0124,13:51
100501 => 250301;0110,21:11==0121,11:10
100501 => 131001;0112,05:20==0116,23:52
100501 => 101101;0108,16:38==0116,13:01
100501 => 021801;0112,05:25==0123,11:05
100401 => 250301;0107,07:53==0116,17:54
100401 => 131201;0108,21:52==0123,15:54
100401 => 100501;0106,06:10==0115,09:41
100401 => 021601;0103,01:07==0113,15:47
100401 => 020101;0110,09:06==0118,20:02
100301 => 131201;0110,00:25==0121,06:58
100301 => 120201;0110,04:24==0117,19:32
100301 => 060201;0108,15:22==0120,13:46
100301 => 020701;0103,11:01==0120,13:12
100201 => 150201;0107,06:50==0118,01:34
100201 => 100701;0104,22:05==0117,09:25
100201 => 021601;0112,03:08==0120,23:01
100201 => 020201;0104,02:08==0117,07:34
100101 => 131201;0103,14:50==0123,16:43
100101 => 100301;0101,03:22==0120,15:40
100101 => 021101;0101,00:41==0113,18:45
090701 => 120901;0110,18:31==0123,18:21
090701 => 090501;0110,04:24==0123,20:35
090501 => 120301;0101,13:31==0114,04:19
090501 => 050201;0111,09:31==0117,00:06
090201 => 081301;0109,10:03==0117,23:47
090101 => 120801;0108,00:09==0114,19:07
090101 => 050401;0101,11:58==0118,04:39
081301 => 050501;0102,06:06==0118,07:58
081001 => 051101;0101,03:32==0114,01:52
080701 => 081301;0112,17:24==0124,09:59
080201 => 081001;0110,20:08==0123,20:26
070101 => 190201;0106,09:29==0117,01:22
070101 => 101101;0105,18:58==0114,05:16
070101 => 020601;0102,16:15==0122,23:46
061301 => 131101;0103,00:23==0118,14:34
061301 => 060301;0103,05:45==0116,20:16
061201 => 220701;0104,05:59==0122,23:55
061201 => 130701;0107,02:51==0117,13:30
061201 => 021801;0109,09:12==0120,06:18
061201 => 010501;0110,21:42==0115,02:13
061101 => 131001;0105,21:42==0116,05:19
061101 => 060101;0112,06:13==0116,20:51
061101 => 010701;0106,15:09==0119,15:15
061001 => 220301;0108,03:05==0119,19:11
061001 => 060601;0107,16:37==0113,10:40
061001 => 020401;0110,21:34==0119,23:35
060801 => 220301;0105,04:01==0121,14:55
060801 => 060701;0107,05:16==0124,07:07
060701 => 220901;0102,03:55==0122,01:10
060701 => 130201;0105,20:38==0113,05:36
060701 => 021301;0105,15:57==0120,14:37
060601 => 220701;0112,17:47==0119,04:22
060601 => 130301;0107,13:47==0113,18:16
060601 => 060201;0105,06:38==0122,14:30
060501 => 220701;0105,20:59==0117,04:22
060501 => 130201;0105,12:18==0123,07:48
060501 => 060101;0112,00:16==0114,14:34
060501 => 020201;0105,19:13==0123,23:39
060401 => 220201;0106,16:41==0123,05:21
060401 => 061101;0110,20:50==0118,18:26
060401 => 020601;0110,01:15==0120,09:20
060301 => 220201;0103,21:42==0117,15:23
060301 => 100701;0102,10:55==0121,07:03
060301 => 021201;0110,06:12==0120,05:52
060301 => 010201;0108,01:33==0120,22:26
060201 => 130601;0106,04:58==0120,10:28
060201 => 060601;0109,20:22==0124,09:22
060201 => 020601;0112,11:02==0120,08:54
060101 => 220401;0105,15:11==0113,05:59
060101 => 100701;0109,23:21==0115,12:58
060101 => 021801;0107,10:01==0114,15:41
060101 => 020201;0110,04:30==0123,04:41
051101 => 090501;0105,07:34==0122,09:07
051101 => 030701;0107,00:27==0124,10:09
051001 => 080201;0102,07:29==0113,07:06
050901 => 090701;0104,10:00==0120,12:24
050901 => 040401;0110,04:21==0122,07:42
050501 => 120101;0111,16:01==0113,18:24
050401 => 150401;0106,20:11==0114,16:12
050401 => 081301;0110,09:02==0120,11:23
050201 => 120701;0103,05:57==0117,08:10
050201 => 051101;0101,16:08==0124,14:17
050101 => 120101;0111,01:34==0120,07:40
040801 => 210801;0109,07:17==0120,08:12
040801 => 040401;0107,10:11==0114,18:15
030701 => 090101;0111,23:57==0123,20:22
022001 => 250301;0104,00:55==0117,16:44
022001 => 131101;0103,07:27==0123,08:05
022001 => 100201;0103,20:39==0122,00:06
022001 => 021601;0106,21:28==0116,06:53
022001 => 010101;0105,00:24==0120,06:12
021901 => 130901;0105,15:31==0118,23:17
021901 => 061201;0109,15:58==0118,01:54
021901 => 021101;0105,15:22==0123,17:56
021801 => 220601;0111,22:52==0120,22:52
021801 => 130401;0111,23:41==0119,09:35
021801 => 061201;0103,09:35==0115,02:16
021801 => 021301;0103,07:25==0116,10:58
021701 => 150401;0107,06:36==0113,05:23
021701 => 120501;0101,20:34==0115,20:28
021701 => 061001;0104,09:12==0114,15:51
021701 => 021001;0110,13:34==0117,23:48
021601 => 220501;0112,19:15==0116,05:20
021601 => 130701;0102,22:20==0116,18:27
021601 => 060701;0110,05:48==0124,04:42
021601 => 021201;0108,03:19==0124,18:24
021501 => 220801;0101,15:16==0120,06:38
021501 => 131001;0105,07:10==0113,09:21
021501 => 100401;0109,15:24==0114,16:21
021501 => 021601;0102,21:27==0116,09:51
021501 => 010201;0106,08:31==0116,15:26
021401 => 130801;0102,06:11==0122,21:46
021401 => 100201;0106,15:29==0114,03:40
021401 => 020401;0112,01:38==0115,11:18
021301 => 190201;0102,14:25==0123,22:45
021301 => 130501;0105,16:21==0120,02:03
021301 => 100201;0111,09:58==0115,12:32
021301 => 021101;0105,20:18==0120,19:40
021201 => 220601;0105,02:42==0122,01:27
021201 => 130901;0109,07:44==0115,08:04
021201 => 100401;0101,05:21==0122,15:37
021201 => 021501;0106,10:02==0118,01:24
021101 => 150801;0111,16:18==0115,09:26
021101 => 100801;0108,04:02==0116,13:22
021101 => 021801;0108,09:50==0120,07:58
021001 => 220401;0104,12:50==0119,05:02
021001 => 130301;0101,04:02==0119,03:19
021001 => 100301;0111,06:13==0120,01:18
021001 => 020901;0108,07:58==0124,02:50
020901 => 220201;0101,13:01==0122,15:54
020901 => 130401;0112,18:50==0118,15:11
020901 => 061301;0105,23:34==0114,19:55
020901 => 021201;0102,21:20==0116,01:24
020801 => 221001;0108,17:55==0119,13:24
020801 => 130201;0102,14:36==0118,10:55
020801 => 061101;0101,16:55==0113,12:57
020801 => 021001;0108,02:36==0117,16:54
020701 => 190101;0101,03:00==0115,05:20
020701 => 120801;0108,01:07==0122,16:56
020701 => 061101;0109,08:39==0120,09:44
020701 => 021201;0108,17:25==0117,20:08
020601 => 220601;0109,21:20==0117,01:33
020601 => 130301;0110,17:40==0119,01:13
020601 => 100301;0107,07:27==0116,00:36
020601 => 021601;0101,05:30==0119,23:34
020501 => 150801;0111,22:27==0122,06:01
020501 => 120401;0104,10:58==0115,16:27
020501 => 070101;0108,02:13==0117,22:50
020501 => 020601;0104,18:37==0123,12:18
020401 => 220201;0101,22:17==0113,10:50
020401 => 130101;0110,03:51==0118,18:20
020401 => 070101;0103,23:08==0124,08:32
020401 => 021001;0108,17:47==0121,08:40
020301 => 220301;0104,09:31==0114,03:34
020301 => 120701;0101,05:33==0120,03:19
020301 => 060701;0112,03:29==0118,09:48
020301 => 020501;0106,00:58==0121,19:35
020201 => 130601;0111,00:08==0115,04:34
020201 => 100201;0112,21:51==0121,11:49
020201 => 021401;0107,12:44==0124,12:44
020101 => 190201;0109,10:19==0119,07:43
020101 => 130201;0103,18:25==0116,03:55
020101 => 100201;0103,08:08==0120,11:24
020101 => 021401;0111,15:03==0115,08:32
010701 => 220601;0103,18:39==0115,21:29
010701 => 130301;0108,16:11==0121,01:35
010701 => 060101;0104,05:11==0114,18:03
010601 => 131201;0110,14:49==0119,14:55
010601 => 061301;0111,11:56==0117,13:02
010601 => 020401;0103,05:02==0124,09:25
010501 => 131201;0102,03:46==0123,06:31
010501 => 061001;0102,13:48==0118,02:34
010501 => 010301;0110,19:36==0122,08:45
010301 => 131101;0112,01:28==0115,21:49
010301 => 060401;0104,17:39==0115,10:36
010201 => 220401;0104,12:42==0124,20:53
010201 => 061201;0104,05:35==0123,08:51
010201 => 010301;0107,11:01==0115,13:57
010101 => 130701;0106,00:59==0122,17:18
010101 => 060101;0110,17:41==0115,14:55
