250301 => 150301;0712,11:28==0718,22:16
250301 => 100801;0712,04:41==0715,12:22
250301 => 021101;0705,11:47==0714,20:34
221001 => 220301;0702,15:37==0723,14:22
221001 => 130501;0712,06:33==0722,06:36
221001 => 061201;0709,15:55==0716,19:01
221001 => 021401;0704,11:08==0721,18:30
221001 => 010301;0710,19:20==0722,20:00
220901 => 130501;0712,07:43==0724,23:36
220901 => 060201;0705,18:15==0724,06:32
220801 => 220901;0705,00:19==0722,02:05
220801 => 130401;0708,23:09==0721,10:38
220801 => 060301;0706,07:08==0716,12:35
220701 => 220301;0712,11:48==0721,05:08
220701 => 061001;0703,14:24==0716,14:54
220701 => 020901;0701,21:22==0715,05:19
220601 => 220401;0712,13:21==0719,13:56
220601 => 130301;0702,18:38==0718,13:03
220601 => 021601;0705,06:04==0714,02:47
220601 => 010501;0707,07:35==0714,03:29
220501 => 130801;0707,22:58==0722,15:05
220501 => 060501;0711,20:44==0713,05:53
220501 => 010101;0702,18:11==0715,09:20
220401 => 131001;0705,09:30==0714,13:38
220401 => 100501;0710,13:29==0716,07:44
220401 => 021901;0706,17:56==0714,09:19
220301 => 221001;0710,13:04==0716,05:10
220301 => 130801;0705,00:29==0719,07:16
220301 => 061101;0706,13:43==0716,18:14
220301 => 020601;0705,00:58==0716,03:21
220201 => 220601;0705,21:15==0717,18:45
220201 => 100901;0710,21:54==0716,12:51
220201 => 060101;0704,17:16==0718,22:05
220201 => 010101;0712,10:10==0723,01:49
220101 => 130501;0712,13:07==0724,09:20
220101 => 021901;0710,03:37==0718,16:00
190301 => 221001;0705,08:58==0722,23:00
190301 => 120401;0709,18:10==0714,15:25
190301 => 100101;0709,03:54==0720,15:46
190301 => 020701;0702,11:59==0716,14:54
190201 => 120801;0707,10:03==0719,10:49
190201 => 100401;0708,23:36==0716,00:35
190201 => 021101;0711,20:41==0719,03:31
190101 => 150401;0701,20:28==0724,23:17
190101 => 100601;0709,09:48==0720,19:15
190101 => 020701;0702,01:16==0720,09:41
150901 => 150301;0702,08:59==0720,15:36
150901 => 100501;0703,17:58==0717,23:22
150901 => 021301;0704,12:21==0720,00:49
150801 => 131201;0701,12:23==0720,06:56
150801 => 100401;0706,18:34==0713,12:18
150801 => 021001;0707,15:57==0715,06:35
150701 => 120801;0707,01:44==0721,02:04
150701 => 100501;0704,16:07==0714,14:55
150701 => 020601;0704,08:17==0719,01:56
150401 => 120601;0709,12:42==0713,03:25
150401 => 070101;0708,02:42==0717,19:35
150401 => 020401;0711,17:51==0713,06:41
150301 => 131201;0712,10:47==0715,09:32
150301 => 101001;0701,02:58==0724,02:33
150301 => 021801;0709,03:56==0714,21:45
150301 => 020201;0708,02:10==0723,10:16
150201 => 130101;0709,02:36==0724,00:40
150201 => 100101;0704,12:22==0723,15:43
150201 => 020201;0704,00:14==0721,11:54
131201 => 101101;0704,15:05==0720,08:45
131201 => 022001;0711,11:02==0719,05:39
131201 => 020601;0706,16:58==0724,00:06
131101 => 220801;0705,05:46==0713,13:14
131101 => 100701;0708,16:57==0722,13:10
131101 => 021701;0701,10:21==0716,09:03
131101 => 010201;0707,09:31==0720,15:36
131001 => 190201;0710,00:48==0723,13:33
131001 => 100601;0710,14:04==0715,08:26
131001 => 060201;0712,15:13==0719,14:01
131001 => 010501;0711,00:49==0723,13:06
130901 => 130401;0705,23:03==0723,07:26
130901 => 061201;0707,08:12==0714,13:51
130901 => 021301;0701,21:48==0718,10:39
130801 => 220901;0709,17:48==0723,03:43
130801 => 150201;0709,21:13==0717,04:12
130801 => 100501;0702,21:23==0719,22:36
130801 => 060101;0707,07:10==0724,07:27
130801 => 020701;0705,14:12==0718,11:50
130701 => 220601;0710,02:07==0717,19:15
130701 => 061201;0712,23:21==0715,02:16
130701 => 021301;0707,02:15==0723,05:31
130601 => 220801;0708,13:52==0720,04:15
130601 => 130201;0710,18:17==0723,06:22
130601 => 021701;0709,01:19==0722,05:02
130601 => 020101;0710,12:44==0724,18:21
130501 => 220301;0709,01:54==0723,18:08
130501 => 130101;0708,01:37==0724,17:07
130501 => 060601;0706,08:15==0716,18:39
130501 => 020901;0711,13:53==0722,17:40
130401 => 220601;0710,14:04==0724,16:53
130401 => 061201;0709,21:25==0722,15:00
130401 => 021601;0701,16:36==0714,06:55
130301 => 221001;0706,12:44==0715,13:55
130301 => 130101;0709,09:18==0716,16:42
130301 => 060401;0703,02:29==0714,14:55
130301 => 020601;0711,04:12==0719,23:48
130201 => 220601;0712,13:29==0722,10:16
130201 => 130301;0711,21:06==0713,04:02
130201 => 060101;0701,21:49==0719,21:15
130201 => 010101;0701,17:36==0713,01:20
130101 => 130701;0703,14:06==0724,02:27
130101 => 060201;0709,04:51==0723,02:08
130101 => 020601;0708,01:07==0722,20:43
120901 => 190101;0704,08:26==0718,04:37
120901 => 101001;0708,06:29==0719,04:39
120901 => 020501;0707,03:01==0721,21:00
120801 => 120201;0710,13:45==0713,18:25
120801 => 050501;0703,12:17==0724,04:30
120701 => 190101;0702,10:03==0720,12:06
120701 => 100901;0701,12:35==0720,06:41
120701 => 020701;0701,22:57==0723,07:07
120601 => 120301;0707,05:56==0724,06:07
120601 => 090101;0706,09:07==0723,17:15
120501 => 120901;0710,22:27==0720,12:05
120501 => 100501;0708,10:51==0714,21:28
120501 => 050101;0703,01:56==0720,17:42
120401 => 190301;0706,03:04==0716,01:39
120401 => 120301;0710,02:04==0719,12:16
120401 => 070101;0712,15:48==0720,11:52
120301 => 190201;0702,19:12==0717,03:29
120301 => 101101;0704,17:15==0721,18:35
120301 => 050501;0709,13:44==0717,05:14
120201 => 150701;0708,12:08==0720,11:42
120201 => 100301;0704,09:31==0717,02:15
120201 => 050201;0709,21:53==0722,11:30
120101 => 120601;0703,09:52==0717,10:23
120101 => 070101;0710,16:27==0718,16:06
101101 => 220601;0702,00:39==0718,02:06
101101 => 130601;0709,02:28==0723,09:33
101101 => 100901;0705,23:28==0721,15:44
101101 => 021701;0712,13:42==0715,11:02
101101 => 020201;0709,07:10==0713,09:38
101001 => 131001;0701,07:53==0723,11:24
101001 => 100901;0702,00:57==0716,14:15
101001 => 020301;0709,08:56==0715,14:20
100901 => 120801;0712,05:16==0717,06:55
100901 => 100301;0708,16:16==0713,23:54
100901 => 020301;0709,02:11==0714,14:22
100801 => 131001;0712,00:31==0716,14:03
100801 => 100701;0704,18:35==0724,15:12
100801 => 021301;0709,11:11==0716,20:01
100701 => 220801;0702,15:54==0718,17:29
100701 => 130901;0701,12:21==0720,02:47
100701 => 100101;0701,00:22==0723,05:52
100701 => 021701;0706,02:24==0717,11:17
100701 => 010601;0704,10:29==0719,17:44
100601 => 150901;0704,05:34==0718,15:42
100601 => 120501;0710,21:36==0714,10:03
100601 => 061001;0702,02:33==0717,08:15
100601 => 020701;0712,16:09==0723,08:49
100501 => 150901;0711,02:48==0721,07:50
100501 => 130101;0706,12:41==0720,16:35
100501 => 100401;0709,11:12==0718,07:35
100501 => 020901;0705,02:11==0718,05:44
100401 => 190301;0712,07:58==0722,13:44
100401 => 120801;0708,15:07==0720,00:06
100401 => 060301;0711,19:26==0718,07:44
100401 => 020801;0703,06:39==0714,20:53
100301 => 190301;0701,02:29==0719,21:03
100301 => 130101;0710,17:13==0721,12:07
100301 => 100701;0701,01:30==0718,19:09
100301 => 021301;0704,08:37==0718,20:44
100201 => 221001;0710,14:19==0715,07:00
100201 => 120401;0702,18:20==0716,09:46
100201 => 090701;0710,14:42==0724,04:51
100201 => 020901;0702,20:40==0724,09:43
100101 => 190101;0710,05:59==0720,15:00
100101 => 120401;0701,03:27==0716,21:33
100101 => 021801;0711,12:39==0719,17:14
100101 => 020301;0701,10:00==0717,17:54
090701 => 120301;0712,23:53==0723,05:58
090701 => 030701;0711,10:14==0722,19:01
090501 => 081301;0707,20:23==0719,18:13
090201 => 120501;0709,16:52==0719,23:36
090201 => 040801;0712,09:32==0722,13:51
090101 => 100201;0706,12:36==0715,21:29
081301 => 090501;0704,09:47==0722,13:21
081001 => 210801;0704,21:12==0716,23:26
081001 => 050101;0702,04:11==0722,17:02
080701 => 050501;0710,20:41==0719,23:56
080201 => 050401;0711,15:55==0716,06:49
070101 => 120701;0702,17:04==0716,11:09
070101 => 100101;0704,02:23==0723,10:46
061301 => 220901;0707,23:59==0719,22:10
061301 => 100701;0711,17:28==0716,14:05
061301 => 010601;0708,05:06==0713,11:35
061201 => 220101;0701,22:14==0717,12:36
061201 => 061101;0703,15:40==0714,06:40
061201 => 020701;0703,05:11==0718,17:53
061101 => 220701;0708,11:59==0719,18:32
061101 => 100701;0709,02:48==0716,06:08
