250301 => 150401;0807,07:45==0824,05:11
250301 => 101101;0808,10:09==0820,13:59
250301 => 021301;0809,11:23==0824,02:47
221001 => 220401;0808,12:45==0814,19:12
221001 => 130601;0811,16:30==0821,18:42
221001 => 061301;0804,01:48==0819,15:07
221001 => 021501;0808,11:29==0815,19:44
221001 => 020101;0812,23:59==0823,11:39
220901 => 130601;0806,13:49==0820,22:57
220901 => 060301;0804,17:25==0817,17:04
220901 => 010301;0810,20:41==0822,14:20
220801 => 130501;0810,19:25==0815,16:27
220801 => 060401;0801,15:27==0822,21:21
220701 => 220401;0812,17:39==0814,22:50
220701 => 061101;0809,16:29==0823,22:08
220701 => 021001;0808,05:26==0823,15:19
220601 => 220501;0801,14:38==0813,17:17
220601 => 130401;0812,10:57==0814,11:47
220601 => 021801;0802,01:30==0824,06:03
220601 => 010601;0806,03:55==0818,12:49
220501 => 130901;0811,16:21==0816,21:37
220501 => 060601;0803,03:28==0818,04:22
220501 => 010601;0812,20:23==0817,17:39
220401 => 131101;0809,04:12==0818,09:58
220401 => 100601;0808,00:38==0818,19:37
220401 => 022001;0811,09:26==0823,16:13
220401 => 010101;0803,09:03==0816,02:47
220301 => 130901;0806,21:20==0817,20:52
220301 => 061201;0810,03:12==0823,22:06
220301 => 020901;0804,21:55==0821,07:39
220201 => 220701;0805,00:32==0818,08:04
220201 => 101101;0805,07:48==0817,20:11
220201 => 060201;0804,22:42==0820,09:32
220201 => 010201;0807,23:10==0817,20:03
220101 => 130701;0802,08:49==0822,00:42
220101 => 060101;0808,00:25==0818,18:08
210801 => 040401;0809,16:18==0817,17:44
190301 => 120501;0809,19:08==0819,10:22
190301 => 100201;0802,07:32==0814,21:01
190301 => 021001;0802,06:54==0820,14:31
190201 => 120901;0803,23:19==0818,01:02
190201 => 100501;0808,18:02==0813,18:00
190201 => 021301;0812,08:17==0822,20:21
190101 => 150701;0802,02:48==0818,20:46
190101 => 100801;0808,04:15==0821,21:14
190101 => 020801;0802,21:30==0821,13:03
150901 => 150401;0803,10:11==0821,20:11
150901 => 100601;0810,20:53==0818,10:15
150901 => 021401;0806,02:28==0817,02:26
150801 => 150201;0811,22:59==0820,19:27
150801 => 100501;0801,02:26==0814,00:00
150801 => 021101;0801,02:34==0818,02:07
150701 => 120901;0810,17:16==0818,10:35
150701 => 100601;0812,22:57==0821,12:28
150701 => 020701;0809,18:53==0815,06:46
150401 => 120701;0810,19:07==0813,22:59
150401 => 090101;0803,22:37==0813,08:56
150401 => 020501;0803,12:22==0816,06:05
150301 => 150201;0804,06:25==0821,03:13
150301 => 101101;0806,18:06==0819,22:48
150301 => 021901;0804,08:44==0824,21:39
150301 => 020301;0803,07:13==0822,15:31
