250301 => 190201;1112,19:09==1123,22:49
250301 => 120501;1111,09:35==1121,23:38
250301 => 021901;1103,15:20==1120,11:45
250301 => 020101;1109,01:51==1114,01:23
221001 => 131001;1105,21:54==1114,07:27
221001 => 100301;1102,11:44==1116,07:35
221001 => 022001;1109,16:07==1120,13:24
221001 => 020501;1112,01:05==1122,22:20
220901 => 131001;1109,14:00==1118,04:45
220901 => 060701;1102,16:51==1117,12:53
220901 => 020301;1105,23:06==1119,04:35
220801 => 130801;1103,12:21==1124,02:53
220801 => 060701;1112,05:57==1122,03:35
220701 => 220801;1105,21:43==1120,01:46
220701 => 100701;1101,21:12==1114,09:16
220701 => 022001;1108,20:08==1121,18:31
220601 => 250301;1106,07:42==1113,22:44
220601 => 130701;1102,11:53==1124,06:43
220601 => 061001;1111,12:46==1124,00:56
220601 => 020301;1101,02:57==1120,06:17
220501 => 220301;1109,21:12==1119,13:47
220501 => 061001;1107,14:22==1117,14:08
220501 => 020401;1103,00:57==1124,22:21
220401 => 220201;1104,12:35==1124,09:18
220401 => 130101;1112,12:55==1122,00:08
220401 => 060401;1105,02:38==1118,06:18
220401 => 010501;1101,06:49==1117,14:00
220301 => 220101;1102,03:16==1115,14:31
220301 => 100501;1112,15:57==1123,20:26
220301 => 021501;1111,22:03==1118,22:54
220301 => 010101;1105,14:54==1116,09:46
220201 => 130401;1112,10:21==1116,18:50
220201 => 060801;1110,21:05==1122,03:51
220201 => 020201;1103,01:18==1114,16:28
220101 => 131101;1107,15:40==1121,20:49
220101 => 060601;1103,00:53==1120,22:37
210801 => 081001;1103,13:31==1121,15:47
190301 => 120801;1101,10:50==1117,12:55
190301 => 100501;1110,18:37==1114,23:53
190301 => 021401;1112,21:52==1115,23:40
190201 => 150301;1107,18:22==1117,14:06
190201 => 100801;1105,14:56==1117,19:44
190201 => 021701;1111,20:34==1122,01:17
190101 => 221001;1110,00:51==1124,14:03
190101 => 120301;1111,11:21==1122,00:05
190101 => 021401;1102,00:45==1118,15:42
150901 => 221001;1103,13:53==1118,02:14
150901 => 101001;1111,22:36==1116,14:01
150901 => 021701;1109,21:09==1122,05:45
150801 => 150701;1112,20:03==1119,15:35
150801 => 101001;1102,20:51==1120,08:31
150801 => 021501;1111,10:33==1117,17:05
150701 => 190101;1109,21:44==1123,22:39
150701 => 101001;1112,12:50==1113,06:30
150701 => 050201;1106,18:11==1114,04:26
150401 => 150301;1103,23:35==1119,13:04
150401 => 100701;1108,11:09==1119,08:35
150401 => 021101;1108,22:16==1116,13:55
150301 => 150901;1106,07:42==1114,20:20
150301 => 120401;1111,17:31==1116,18:41
150301 => 100101;1101,15:07==1114,21:39
150301 => 020801;1102,18:12==1114,15:54
150201 => 150401;1111,21:07==1121,21:42
150201 => 100701;1109,02:35==1113,22:00
150201 => 021001;1110,01:43==1119,16:34
131201 => 130701;1104,01:24==1116,09:54
131201 => 060501;1104,01:34==1121,12:29
131201 => 021201;1103,13:32==1114,12:30
131201 => 010301;1111,00:16==1116,06:28
131101 => 130901;1108,01:04==1113,20:04
131101 => 060301;1111,00:11==1120,22:27
131101 => 020401;1102,05:01==1122,11:32
131001 => 220501;1109,08:33==1122,03:35
131001 => 130101;1111,22:14==1118,17:24
131001 => 060801;1103,19:31==1120,21:14
131001 => 020701;1105,16:31==1119,08:24
130901 => 150301;1102,10:31==1117,16:10
130901 => 100501;1107,21:02==1116,18:10
130901 => 021801;1107,17:24==1119,02:04
130901 => 010301;1110,06:57==1119,10:49
130801 => 220101;1105,10:40==1116,22:06
130801 => 101001;1110,20:54==1123,05:50
