250301 => 220401;1202,04:49==1218,14:47
250301 => 120601;1203,11:26==1217,06:50
250301 => 022001;1208,14:54==1220,05:59
250301 => 020201;1205,07:55==1222,11:52
221001 => 131101;1208,12:57==1221,21:46
221001 => 100401;1202,11:02==1220,04:23
221001 => 060101;1210,07:46==1217,20:27
221001 => 020601;1201,15:43==1224,04:24
220901 => 220101;1212,01:57==1217,01:39
220901 => 060801;1201,05:39==1222,01:19
220901 => 020401;1212,22:46==1215,09:18
220801 => 130901;1203,16:52==1215,08:30
220801 => 060801;1206,09:40==1214,19:31
220701 => 220901;1210,17:35==1215,01:47
220701 => 130501;1208,21:36==1218,23:37
220701 => 060101;1201,15:39==1223,23:41
220701 => 010101;1201,11:41==1216,16:00
220601 => 130801;1203,09:17==1221,05:25
220601 => 061201;1212,04:28==1216,12:44
220601 => 020401;1212,19:49==1214,02:58
220501 => 220401;1204,20:22==1213,07:06
220501 => 061101;1203,19:05==1221,03:12
220501 => 021201;1201,18:01==1221,03:35
220401 => 220301;1203,19:12==1213,12:39
220401 => 130201;1210,06:40==1215,15:12
220401 => 060701;1208,08:12==1224,13:04
220401 => 010701;1201,14:04==1224,17:06
220301 => 220201;1211,11:43==1216,20:27
220301 => 100601;1207,05:45==1221,21:02
220301 => 021901;1203,02:54==1215,21:09
220301 => 010201;1211,05:45==1215,09:31
220201 => 130501;1210,23:45==1214,10:14
220201 => 061101;1205,16:45==1223,17:44
220201 => 020401;1206,08:33==1219,03:53
220101 => 220201;1205,11:53==1213,23:07
220101 => 060701;1206,03:53==1216,02:07
210801 => 081301;1203,23:34==1214,03:26
190301 => 120901;1206,21:43==1222,23:40
190301 => 100601;1209,11:33==1222,08:53
190301 => 021601;1204,17:37==1222,19:32
190201 => 150401;1203,11:41==1218,18:47
190201 => 100901;1211,01:14==1220,11:22
190201 => 021801;1203,04:20==1222,04:07
190101 => 250301;1203,16:10==1220,16:00
190101 => 120401;1205,17:40==1223,08:21
190101 => 021701;1202,11:13==1216,02:22
