250301 => 150901;0905,22:54==0917,21:17
250301 => 120201;0903,17:00==0919,03:20
250301 => 021401;0912,06:08==0916,01:58
221001 => 220501;0910,01:59==0921,11:00
221001 => 130801;0904,12:25==0914,14:51
221001 => 100101;0905,11:50==0922,05:32
221001 => 021601;0905,18:02==0919,14:46
221001 => 020301;0911,09:50==0924,22:58
220901 => 130801;0904,21:54==0919,22:25
220901 => 060401;0907,19:38==0924,04:55
220901 => 010501;0909,09:27==0922,08:53
220801 => 130601;0904,03:10==0919,04:54
220801 => 060501;0901,15:12==0919,08:39
220701 => 220501;0912,20:14==0921,18:46
220701 => 061201;0904,08:41==0924,03:59
220701 => 021501;0902,16:22==0923,06:49
220601 => 220701;0909,02:30==0924,04:04
220601 => 130501;0903,09:21==0913,22:02
220601 => 060601;0905,17:20==0916,05:48
220601 => 010701;0910,03:10==0921,23:35
220501 => 131001;0901,23:52==0916,11:15
220501 => 060701;0903,11:56==0922,13:56
220501 => 010701;0910,11:17==0918,10:32
220401 => 131201;0903,20:23==0919,07:00
220401 => 100701;0904,20:11==0919,21:13
220401 => 060101;0904,17:33==0922,14:16
220401 => 010201;0912,13:02==0915,16:57
220301 => 131001;0911,22:18==0917,07:08
220301 => 061301;0910,17:43==0915,08:25
220301 => 021001;0904,09:31==0914,13:05
220201 => 220801;0906,23:50==0915,01:22
220201 => 130101;0911,18:04==0918,23:33
220201 => 060301;0905,13:57==0924,11:42
220201 => 010501;0904,10:25==0916,14:02
220101 => 130801;0902,12:27==0919,01:38
220101 => 060301;0904,00:26==0919,00:40
210801 => 040801;0912,19:49==0914,20:45
190301 => 120601;0911,18:16==0915,17:35
190301 => 100301;0908,00:27==0923,05:03
190301 => 021101;0911,16:24==0922,01:36
190201 => 130801;0906,11:10==0918,05:43
190201 => 100601;0902,03:43==0914,06:10
190201 => 021401;0910,17:51==0922,17:51
190101 => 150901;0906,23:30==0917,00:52
190101 => 100901;0910,07:18==0920,12:32
190101 => 021201;0909,03:52==0914,18:36
