250301 => 190101;1012,21:20==1016,00:11
250301 => 120301;1004,00:19==1018,13:06
250301 => 021501;1011,10:46==1018,06:47
221001 => 220901;1009,17:58==1021,16:54
221001 => 130901;1003,18:50==1022,03:39
221001 => 100201;1009,19:39==1022,19:23
221001 => 021801;1001,01:53==1013,17:41
221001 => 020401;1011,14:07==1017,05:10
220901 => 130901;1011,19:00==1022,21:46
220901 => 060501;1006,10:10==1023,05:05
220901 => 010701;1001,09:07==1021,15:48
220801 => 130701;1012,01:49==1019,09:30
220801 => 060601;1006,14:18==1023,21:53
220701 => 220601;1004,10:25==1024,04:15
220701 => 100401;1002,19:12==1019,20:43
220701 => 021601;1007,07:03==1022,08:59
220601 => 220901;1002,05:20==1016,03:00
220601 => 130601;1003,16:08==1019,20:40
220601 => 060701;1005,03:38==1019,13:56
220601 => 020201;1002,22:28==1013,18:38
220501 => 220101;1008,10:44==1020,08:51
220501 => 060801;1012,16:24==1024,12:15
220501 => 020301;1008,03:52==1017,21:42
220401 => 220101;1008,06:51==1024,11:24
220401 => 101101;1002,05:02==1020,20:50
220401 => 060301;1012,07:45==1023,04:38
220401 => 010301;1003,11:38==1020,23:31
220301 => 131101;1002,20:27==1017,16:18
220301 => 100401;1003,08:14==1021,20:04
220301 => 021301;1006,21:40==1021,22:45
220201 => 221001;1011,03:48==1022,00:40
220201 => 130201;1002,07:17==1023,08:03
220201 => 060401;1009,00:48==1013,11:02
220201 => 020101;1012,05:06==1013,11:12
220101 => 131001;1010,01:03==1023,19:04
220101 => 060401;1003,12:50==1019,16:14
210801 => 080701;1001,15:36==1016,19:55
190301 => 120701;1003,18:01==1015,12:30
190301 => 100401;1003,00:54==1013,16:57
190301 => 021201;1007,21:57==1017,16:59
190201 => 131001;1003,12:54==1021,15:03
190201 => 100701;1008,08:41==1023,06:11
190201 => 021501;1010,08:07==1017,20:05
190101 => 190301;1012,19:18==1016,09:52
190101 => 101001;1004,19:35==1016,22:36
190101 => 021301;1010,11:22==1018,15:55
150901 => 190101;1002,02:14==1021,03:31
150901 => 100901;1005,23:36==1014,11:43
150901 => 021601;1003,03:15==1019,00:54
150801 => 150401;1008,08:18==1013,13:01
150801 => 100801;1012,20:01==1023,02:53
150801 => 021301;1007,19:50==1014,10:53
150701 => 150801;1001,05:59==1017,19:31
150701 => 100901;1010,12:34==1024,07:26
150701 => 021101;1003,08:35==1018,09:10
150401 => 150201;1011,09:05==1015,12:20
150401 => 100301;1012,14:02==1013,13:35
150401 => 020801;1010,08:37==1024,07:24
150301 => 150801;1007,22:40==1016,13:21
150301 => 120201;1012,12:12==1024,09:18
150301 => 090701;1007,12:18==1014,08:08
150301 => 020601;1005,06:29==1015,20:59
150201 => 150301;1010,15:45==1018,01:38
150201 => 100601;1007,20:41==1014,21:42
150201 => 020901;1003,06:54==1021,14:40
131201 => 130601;1009,02:05==1013,18:51
131201 => 060401;1004,05:05==1020,16:00
131201 => 021001;1011,18:08==1014,12:48
131201 => 010201;1011,13:52==1020,13:38
131101 => 130501;1003,12:37==1023,07:55
131101 => 060201;1005,10:42==1016,19:57
131101 => 020101;1011,09:03==1015,10:51
131001 => 220401;1011,07:29==1014,00:01
131001 => 101101;1012,05:08==1014,14:02
131001 => 060501;1012,13:00==1022,14:35
131001 => 020501;1002,22:10==1018,20:07
130901 => 131101;1005,01:59==1016,05:47
130901 => 100401;1010,10:27==1024,03:07
130901 => 021701;1008,17:53==1022,15:10
130901 => 010101;1004,02:20==1014,04:10
130801 => 190201;1001,21:30==1019,10:24
130801 => 100901;1002,08:42==1018,19:48
130801 => 060401;1003,08:10==1018,21:45
130801 => 021001;1006,10:17==1015,19:21
130801 => 010201;1003,12:16==1015,21:40
130701 => 130201;1009,05:01==1018,14:58
130701 => 021801;1009,05:19==1017,09:48
130701 => 010101;1005,09:17==1019,14:45
130601 => 130701;1008,06:42==1018,07:34
130601 => 060501;1002,10:09==1017,20:14
130601 => 020501;1004,21:15==1017,13:24
130501 => 220601;1003,04:51==1017,22:51
130501 => 130601;1002,13:53==1017,00:41
130501 => 061001;1008,01:03==1013,09:18
130501 => 021301;1007,18:59==1015,16:35
130501 => 010301;1012,08:02==1016,01:58
130401 => 130301;1008,01:09==1015,17:49
130401 => 060101;1006,09:27==1023,12:40
130401 => 010201;1003,15:26==1016,19:41
130301 => 130501;1009,23:17==1016,23:45
130301 => 060701;1008,07:01==1016,16:04
130301 => 020901;1011,20:01==1022,16:16
130301 => 010101;1001,21:01==1020,12:15
130201 => 130601;1003,10:43==1021,14:19
130201 => 060401;1010,19:54==1018,07:18
130201 => 020601;1006,06:39==1019,13:02
130101 => 131001;1011,16:16==1024,11:37
130101 => 060601;1005,13:07==1022,15:13
130101 => 020901;1011,17:05==1021,12:42
130101 => 010101;1001,12:05==1014,00:03
120901 => 120201;1009,05:59==1024,16:07
120901 => 050501;1003,14:06==1016,12:35
120801 => 120901;1001,09:12==1016,19:40
120801 => 090701;1010,23:49==1023,19:11
120701 => 250301;1012,13:58==1015,23:02
120701 => 120401;1006,08:05==1016,01:43
120701 => 050501;1006,02:19==1014,03:22
120601 => 150301;1002,23:39==1023,07:23
120601 => 100201;1002,19:19==1022,20:47
120501 => 150701;1010,09:19==1022,19:26
120501 => 100901;1004,10:38==1013,22:22
120501 => 070101;1004,05:14==1017,19:38
120501 => 020301;1008,02:34==1013,03:02
120401 => 120701;1003,03:44==1024,01:38
120401 => 090701;1001,16:02==1013,21:46
120401 => 020501;1003,05:51==1018,05:28
120301 => 120401;1009,22:31==1020,09:00
120301 => 090501;1004,16:26==1014,06:51
120201 => 250301;1007,03:09==1014,04:53
120201 => 100801;1006,01:45==1022,01:38
120201 => 050901;1004,11:54==1016,03:05
120101 => 150301;1009,03:59==1020,15:36
120101 => 100201;1003,00:25==1016,22:09
120101 => 020501;1004,12:14==1020,08:00
101101 => 131001;1011,17:49==1018,10:32
101101 => 120201;1002,13:31==1021,12:46
101101 => 022001;1009,06:30==1023,15:49
101101 => 020601;1007,02:08==1024,07:12
101001 => 150401;1005,11:43==1019,20:49
101001 => 120301;1002,02:50==1023,06:58
101001 => 020901;1005,08:13==1024,17:46
100901 => 150301;1001,18:46==1023,00:39
100901 => 100801;1004,15:13==1017,18:50
100901 => 020701;1007,23:44==1016,00:43
100801 => 150401;1001,19:23==1023,12:02
100801 => 120101;1005,05:55==1015,04:26
100801 => 021701;1010,22:27==1015,18:59
100701 => 250301;1005,09:22==1015,08:27
100701 => 150301;1003,21:08==1018,11:59
100701 => 100501;1012,21:37==1016,10:42
100701 => 060201;1006,01:49==1022,19:13
100701 => 020501;1002,20:52==1015,23:23
100601 => 190301;1006,02:54==1018,06:50
100601 => 120801;1003,16:29==1015,07:16
100601 => 100301;1004,11:28==1018,02:42
100601 => 021001;1010,11:45==1014,22:45
100501 => 190301;1003,18:13==1015,09:15
100501 => 130601;1006,18:32==1015,12:16
100501 => 100801;1010,11:03==1023,09:12
100501 => 021401;1012,13:53==1017,18:22
100401 => 220701;1012,05:05==1022,15:36
100401 => 130801;1001,07:56==1022,05:58
100401 => 061201;1011,19:33==1014,13:18
100401 => 021301;1004,16:17==1021,23:31
100301 => 220601;1003,15:16==1016,10:45
100301 => 130801;1010,14:37==1015,10:02
100301 => 101001;1009,21:48==1023,02:46
100301 => 021801;1005,04:11==1013,13:14
100301 => 020401;1012,01:28==1020,08:52
100201 => 120801;1002,19:59==1017,01:29
100201 => 100401;1006,14:00==1017,08:31
100201 => 021301;1005,14:31==1023,01:43
100101 => 221001;1002,20:45==1017,13:04
100101 => 120901;1009,22:50==1023,01:40
100101 => 070101;1010,22:45==1017,07:36
100101 => 020801;1005,12:17==1018,18:12
090701 => 120601;1006,15:40==1023,02:52
090701 => 050901;1008,22:07==1019,23:06
090501 => 090701;1005,02:21==1017,11:41
090201 => 150401;1003,15:56==1016,01:50
090201 => 050901;1011,14:06==1019,08:32
090101 => 120501;1010,07:04==1017,23:09
090101 => 030701;1002,17:33==1020,14:32
