250301 => 130301;0304,22:24==0324,15:02
250301 => 100401;0307,04:07==0324,09:09
250301 => 020601;0302,21:13==0317,21:57
221001 => 150901;0312,18:44==0319,11:57
221001 => 101101;0309,00:46==0321,10:35
221001 => 060601;0303,10:22==0313,16:41
221001 => 020901;0309,05:45==0314,22:57
220901 => 220701;0305,11:18==0321,04:36
220901 => 061301;0309,17:11==0321,19:52
220901 => 021301;0306,10:38==0316,12:35
220801 => 220201;0311,01:55==0320,22:15
220801 => 061301;0311,11:01==0322,03:14
220801 => 010501;0307,17:38==0318,19:33
220701 => 131001;0303,12:31==0315,17:42
220701 => 060501;0312,21:03==0316,21:46
220701 => 010601;0302,02:50==0322,17:44
220601 => 131201;0306,16:15==0316,12:32
220601 => 100701;0306,16:46==0321,07:01
220601 => 021001;0311,02:58==0322,22:07
220501 => 221001;0309,21:33==0316,23:13
220501 => 130201;0308,15:34==0319,06:20
220501 => 021601;0304,13:33==0320,19:38
220401 => 220701;0304,08:01==0318,22:05
220401 => 130501;0302,19:20==0317,04:33
220401 => 061101;0310,01:56==0324,04:09
220401 => 021001;0311,18:04==0323,03:49
220301 => 220601;0305,01:19==0321,13:50
220301 => 130401;0306,11:01==0323,22:10
220301 => 060501;0302,19:30==0316,20:23
220301 => 010601;0305,05:52==0316,05:42
220201 => 131101;0304,14:11==0322,10:02
220201 => 100101;0310,02:06==0317,06:48
220201 => 021301;0309,00:28==0317,04:25
220101 => 220501;0310,19:54==0321,18:46
220101 => 061101;0311,02:30==0323,02:34
220101 => 010601;0312,09:56==0313,10:52
190301 => 150701;0303,01:46==0323,23:09
190301 => 101001;0311,18:25==0318,01:39
190301 => 050501;0308,07:27==0319,22:31
190201 => 250301;0306,13:20==0316,19:19
190201 => 120101;0312,10:11==0323,11:51
190201 => 070101;0310,01:52==0324,06:16
190201 => 020401;0308,19:59==0320,11:04
190101 => 120901;0311,00:43==0320,11:54
190101 => 090501;0304,14:13==0324,08:45
190101 => 020301;0305,22:45==0315,11:50
150901 => 120401;0311,10:09==0323,05:26
150901 => 090701;0306,04:52==0322,13:37
150901 => 020901;0310,13:37==0320,04:07
150801 => 120301;0302,13:23==0322,20:35
150801 => 070101;0312,09:31==0316,03:02
150801 => 020401;0309,06:19==0315,09:50
150701 => 120401;0309,11:28==0318,10:40
150701 => 090501;0307,20:09==0321,20:49
150401 => 190201;0307,18:29==0317,03:53
150401 => 101101;0310,22:51==0322,16:09
150401 => 021701;0310,18:42==0324,23:34
150301 => 221001;0312,03:43==0324,15:33
150301 => 120801;0304,15:39==0323,09:07
150301 => 100601;0302,17:38==0315,03:55
150301 => 021301;0302,08:32==0314,17:05
150201 => 190301;0310,11:56==0316,00:58
150201 => 120401;0311,19:05==0324,11:01
150201 => 021601;0305,02:46==0324,12:49
131201 => 150801;0312,01:56==0322,12:37
131201 => 100301;0308,07:35==0315,16:33
131201 => 021601;0307,01:30==0321,21:53
131201 => 020101;0302,19:54==0315,23:55
131101 => 220201;0304,18:36==0313,06:11
131101 => 061201;0308,04:35==0324,15:30
131101 => 021201;0303,15:45==0314,07:36
131001 => 220901;0310,01:11==0316,21:43
131001 => 131101;0303,00:23==0313,20:14
131001 => 100101;0301,12:53==0323,11:48
131001 => 021401;0306,18:02==0317,02:13
130901 => 220901;0308,02:33==0316,11:29
130901 => 101101;0303,10:10==0315,20:09
130901 => 060301;0305,10:58==0317,18:36
130901 => 020501;0305,13:53==0322,05:28
130801 => 220501;0311,17:25==0316,16:11
130801 => 130501;0310,20:16==0318,11:34
130801 => 061201;0310,09:00==0313,12:01
130801 => 021601;0312,11:24==0314,09:14
130801 => 020201;0312,02:57==0313,10:20
130701 => 131201;0307,19:48==0320,21:40
130701 => 060601;0303,23:06==0315,02:11
130701 => 020601;0306,05:08==0315,21:00
130601 => 220401;0308,01:43==0322,19:22
130601 => 100501;0307,03:14==0317,19:44
130601 => 021201;0308,11:52==0316,20:00
130601 => 010101;0311,08:53==0323,00:36
130501 => 150201;0311,01:06==0319,19:04
130501 => 100601;0302,06:27==0314,16:22
130501 => 060101;0306,19:59==0321,01:24
130501 => 020501;0305,10:59==0313,13:08
130401 => 131101;0301,14:20==0314,10:02
130401 => 060601;0307,21:03==0317,13:42
130401 => 020601;0311,22:19==0322,07:02
130301 => 220301;0301,16:11==0319,23:42
130301 => 100301;0304,16:22==0322,19:46
130301 => 021801;0312,14:06==0319,15:25
130301 => 020101;0308,21:54==0314,04:46
130201 => 220101;0307,02:37==0321,12:33
130201 => 061201;0307,04:15==0322,01:49
130201 => 021301;0312,01:06==0323,08:18
130101 => 220301;0304,10:09==0321,18:39
130101 => 100701;0303,09:51==0323,07:07
130101 => 021601;0312,13:56==0313,01:50
130101 => 020201;0301,14:14==0313,12:38
120901 => 150201;0311,02:15==0320,01:09
120901 => 090701;0304,01:59==0315,12:41
120801 => 190101;0310,10:05==0323,23:15
